record_type,headway_seconds,seed,vehicles_completed,simulated_duration_seconds,throughput_vehicles_per_hour_full_run,throughput_vehicles_per_hour_steady,completion_headway_cv_steady,blocked_episode_count,total_blocked_seconds,blocked_fraction_of_station_time,total_starved_seconds,starved_fraction_of_station_time,mean_buffer_occupancy_ratio_time_weighted,p95_buffer_occupancy_ratio_time_weighted,max_single_buffer_p95_occupancy_ratio_time_weighted,p95_buffer_occupancy_ratio_at_state_changes,max_buffer_occupancy_ratio,mean_line_wip_time_weighted,physical_rho_max,throughput_constraint_station_id,physical_headroom_station_count_lt_65pct,physical_moderate_station_count_65_75pct,physical_sensitive_station_count_75_95pct,physical_overloaded_station_count_ge_95pct,test_scope,n_vehicles_requested,selected_headway_seconds,run_count,healthy_runs_with_any_blocking,max_blocked_seconds_one_run,mean_throughput_vehicles_per_hour_full_run,std_throughput_vehicles_per_hour_full_run,mean_throughput_vehicles_per_hour_steady,std_throughput_vehicles_per_hour_steady,mean_completion_headway_cv_steady,std_completion_headway_cv_steady,mean_blocked_episode_count,std_blocked_episode_count,mean_total_blocked_seconds,std_total_blocked_seconds,mean_blocked_fraction_of_station_time,std_blocked_fraction_of_station_time,mean_total_starved_seconds,std_total_starved_seconds,mean_starved_fraction_of_station_time,std_starved_fraction_of_station_time,mean_mean_buffer_occupancy_ratio_time_weighted,std_mean_buffer_occupancy_ratio_time_weighted,mean_p95_buffer_occupancy_ratio_time_weighted,std_p95_buffer_occupancy_ratio_time_weighted,mean_max_single_buffer_p95_occupancy_ratio_time_weighted,std_max_single_buffer_p95_occupancy_ratio_time_weighted,mean_p95_buffer_occupancy_ratio_at_state_changes,std_p95_buffer_occupancy_ratio_at_state_changes,mean_max_buffer_occupancy_ratio,std_max_buffer_occupancy_ratio,mean_mean_line_wip_time_weighted,std_mean_line_wip_time_weighted
run,102.5,42010,600,63555.84130362081,33.98586118435889,35.15179085517874,0.35804577376078306,0,0.0,0.0,1604468.2847102352,0.5610003744739555,0.0026125931790602543,0.0,0.25,0.3333333333333333,0.5,20.189778622502356,0.8842926829268293,S22,38,5,2,0,finalist_comparison,600,102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,105.0,42001,600,64771.156560032105,33.34817710099153,34.51127594971985,0.3697215268349176,0,0.0,0.0,1658219.729091686,0.568915691338557,0.0027863760623070568,0.0,0.25,0.3333333333333333,0.75,19.86864629418926,0.8632380952380952,S22,39,5,1,0,finalist_comparison,600,102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,105.0,42002,600,64721.31879818425,33.37385640634688,34.707299916212406,0.36651697708353137,0,0.0,0.0,1656031.0116289975,0.5686022755819292,0.00243695935202344,0.0,0.25,0.3333333333333333,0.6666666666666666,19.81986619839752,0.8632380952380952,S22,39,5,1,0,finalist_comparison,600,102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,105.0,42003,600,65414.67574972775,33.02011322755796,34.23766791507674,0.3550875459820463,0,0.0,0.0,1685310.794199641,0.5725221527582075,0.0023582861363828428,0.0,0.25,0.3333333333333333,0.5,19.635840224492352,0.8632380952380952,S22,39,5,1,0,finalist_comparison,600,102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,105.0,42004,600,64696.62190570442,33.3865963380315,34.55798647568768,0.35419754359840255,0,0.0,0.0,1652160.7659315881,0.5674899647910585,0.0026241029578335405,0.0,0.25,0.3333333333333333,0.6666666666666666,19.905156063409933,0.8632380952380952,S22,39,5,1,0,finalist_comparison,600,102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,105.0,42005,600,64683.426068548724,33.393407419559445,34.60680628583924,0.3784805860773625,0,0.0,0.0,1652366.7196071488,0.5676764925345933,0.003013716074834164,0.0,0.3333333333333333,0.3333333333333333,0.5,19.961323023596353,0.8632380952380952,S22,39,5,1,0,finalist_comparison,600,102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,105.0,42006,600,64943.05551909547,33.25990720231644,34.270155532039034,0.3732254614865438,0,0.0,0.0,1666122.3395307285,0.5701139341615061,0.002502656827423221,0.0,0.25,0.3333333333333333,0.5,19.766107753452797,0.8632380952380952,S22,39,5,1,0,finalist_comparison,600,102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,105.0,42007,600,65284.08355554054,33.0861656066961,34.30309099158383,0.3696879181772032,0,0.0,0.0,1683225.5832692657,0.572957617299121,0.0024794625261910694,0.0,0.25,0.3333333333333333,0.5,19.632859612206566,0.8632380952380952,S22,39,5,1,0,finalist_comparison,600,102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,105.0,42008,600,65093.190271405045,33.183194601369415,34.23561687231417,0.367936238464696,0,0.0,0.0,1672810.7002141369,0.5710823353545137,0.0025712194871300095,0.0,0.25,0.3333333333333333,0.5,19.735866845496275,0.8632380952380952,S22,39,5,1,0,finalist_comparison,600,102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,105.0,42009,600,65429.87541937407,33.012442499018036,34.23857835162388,0.3663194540511444,0,0.0,0.0,1685821.185401801,0.5725624994516808,0.002237695806441829,0.0,0.25,0.3333333333333333,0.5,19.611152507766903,0.8632380952380952,S22,39,5,1,0,finalist_comparison,600,102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,105.0,42010,600,65048.34130362081,33.20607346339463,34.31756378426794,0.3681450936782183,0,0.0,0.0,1671630.7847102352,0.5710729901312767,0.002225904586979053,0.0,0.25,0.3333333333333333,0.5,19.67107597763665,0.8632380952380952,S22,39,5,1,0,finalist_comparison,600,102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aggregate,105.0,,,,,,,,,,,,,,,,,,0.8632380952380952,S22,39,5,1,0,finalist_aggregate,600,102.5,10,0,0.0,33.22699338652819,0.14195922473517336,34.39860420743648,0.16941127410786608,0.3669318345434066,0.007027368363133063,0.0,0.0,0.0,0.0,0.0,0.0,1668369.9613585228,12734.79537782185,0.5702995953402443,0.001947861533409911,0.0025236379817546225,0.00023004765738421118,0.0,0.0,0.25833333333333336,0.024999999999999994,0.3333333333333333,0.0,0.5583333333333333,0.09166666666666666,19.76078945006446,0.11800257995929957
aggregate,102.5,,,,,,,,,,,,,,,,,,0.8842926829268293,S22,38,5,2,0,finalist_aggregate,600,102.5,10,0,0.0,34.008646778426936,0.1477380137546604,35.24086961602494,0.17587357964659017,0.3601892335988424,0.006726584387297663,0.0,0.0,0.0,0.0,0.0,0.0,1601134.7790149427,12649.834004791173,0.5601910456165918,0.0020230156700885315,0.003082334603958946,0.00033574676329004423,0.0,0.0,0.2833333333333333,0.07637626158259733,0.3333333333333333,0.0,0.6416666666666667,0.11814539065631521,20.31210496565952,0.1348983074451526
aggregate,100.0,,,,,,,,,,,,,,,,,,0.9064,S22,38,3,4,0,finalist_aggregate,600,102.5,10,0,0.0,34.82548353638944,0.1559872843675151,36.12291133424732,0.18404350230260474,0.35222674876916216,0.007139161026340928,0.0,0.0,0.0,0.0,0.0,0.0,1534099.7708952546,12745.81949437396,0.549627469464122,0.0021340864811248868,0.003884278176935576,0.0005126335485166767,0.0,0.0,0.375,0.08539125638299666,0.3333333333333333,0.0,0.6916666666666667,0.14930394055974097,20.926684113534442,0.16476321934128796
run,102.5,42901,2000,207657.2657818306,34.67251662440978,35.10628681402941,0.35585602170375086,0,0.0,0.0,5153579.906801066,0.551504891956124,0.003038970021544965,0.0,0.25,0.3333333333333333,0.75,20.69555598453266,0.8842926829268293,S22,38,5,2,0,long_stability,2000,102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,102.5,42902,2000,206150.98065392056,34.92585859723424,35.25817651042092,0.36234456592289965,0,0.0,0.0,5086308.677027758,0.5482830173943117,0.003323670253414606,0.0,0.25,0.3333333333333333,0.75,20.890693721753653,0.8842926829268293,S22,38,5,2,0,long_stability,2000,102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,102.5,42903,2000,207841.07499208482,34.64185315763112,34.93486810847666,0.3595026234387925,0,0.0,0.0,5163832.0264761755,0.5521133049131494,0.0028063358661200148,0.0,0.25,0.3333333333333333,0.6666666666666666,20.626606721097,0.8842926829268293,S22,38,5,2,0,long_stability,2000,102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aggregate,102.5,,,,,,,,,,,,,,,,,,0.8842926829268293,S22,38,5,2,0,long_stability_aggregate,2000,102.5,3,0,0.0,34.74674279309171,0.12727114236657475,35.099777144308995,0.13207034121214717,0.359234403688481,0.0026557180945782116,0.0,0.0,0.0,0.0,0.0,0.0,5134573.536768333,34384.09519716186,0.5506337380878618,0.0016806660219254481,0.003056325380359862,0.00021155712141021223,0.0,0.0,0.25,0.0,0.3333333333333333,0.0,0.7222222222222222,0.039283710065919325,20.73761880912777,0.11184050217056399
