record_type,headway_seconds,seed,vehicles_completed,simulated_duration_seconds,throughput_vehicles_per_hour_full_run,throughput_vehicles_per_hour_steady,completion_headway_cv_steady,blocked_episode_count,total_blocked_seconds,blocked_fraction_of_station_time,total_starved_seconds,starved_fraction_of_station_time,mean_buffer_occupancy_ratio_time_weighted,p95_buffer_occupancy_ratio_time_weighted,max_single_buffer_p95_occupancy_ratio_time_weighted,p95_buffer_occupancy_ratio_at_state_changes,mean_line_wip_time_weighted,physical_rho_max,physical_headroom_station_count_lt_65pct,physical_moderate_station_count_65_75pct,physical_sensitive_station_count_75_95pct,physical_overloaded_station_count_ge_95pct,run_count,healthy_runs_with_any_blocking,max_blocked_seconds_one_run,mean_throughput_vehicles_per_hour_full_run,std_throughput_vehicles_per_hour_full_run,mean_throughput_vehicles_per_hour_steady,std_throughput_vehicles_per_hour_steady,mean_completion_headway_cv_steady,std_completion_headway_cv_steady,mean_blocked_episode_count,std_blocked_episode_count,mean_total_blocked_seconds,std_total_blocked_seconds,mean_blocked_fraction_of_station_time,std_blocked_fraction_of_station_time,mean_total_starved_seconds,std_total_starved_seconds,mean_starved_fraction_of_station_time,std_starved_fraction_of_station_time,mean_mean_buffer_occupancy_ratio_time_weighted,std_mean_buffer_occupancy_ratio_time_weighted,mean_p95_buffer_occupancy_ratio_time_weighted,std_p95_buffer_occupancy_ratio_time_weighted,mean_max_single_buffer_p95_occupancy_ratio_time_weighted,std_max_single_buffer_p95_occupancy_ratio_time_weighted,mean_p95_buffer_occupancy_ratio_at_state_changes,std_p95_buffer_occupancy_ratio_at_state_changes,mean_mean_line_wip_time_weighted,std_mean_line_wip_time_weighted
run,102.5,31002,450,48377.71449130731,33.486493048180016,35.02208601309302,0.38416471238249456,0,0.0,0.0,1247282.9781543056,0.5729373494798,0.0025121876728863585,0.0,0.25,0.25,19.675445881282755,0.8842926829268293,40,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,102.5,31003,450,47793.95194037799,33.89550213426414,35.383770187210686,0.3660411525372424,0,0.0,0.0,1221055.0938054502,0.5677404051870609,0.0028890262690413984,0.0,0.25,0.25,19.977903794758795,0.8842926829268293,40,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,102.5,31004,450,48075.877061914114,33.69673314360332,35.06672481120248,0.3714682751135017,0,0.0,0.0,1233472.704383265,0.5701508993075664,0.002331761757949999,0.0,0.25,0.25,19.770173416199004,0.8842926829268293,40,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,102.5,31005,450,47888.43598309738,33.82862619634921,35.41915606527056,0.3785311111669509,0,0.0,0.0,1225539.8418995629,0.5687013607730208,0.002241174085302009,0.0,0.25,0.25,19.819066120612923,0.8842926829268293,40,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,100.0,31001,450,47098.46436349321,34.39602589794177,35.764262580133526,0.3515605675842373,0,0.0,0.0,1188525.3928606117,0.5607757228147464,0.003097436370361117,0.0,0.25,0.25,20.32901124493288,0.9064,38,4,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,100.0,31002,450,47252.71449130731,34.283744699958305,35.89757912148756,0.37827406870948604,0,0.0,0.0,1196657.9781543056,0.5627697752566597,0.0031559546750765167,0.0,0.5,0.25,20.24979857342528,0.9064,38,4,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,100.0,31003,450,46701.451940377985,34.688429003624854,36.247146709119484,0.35949543643283266,0,0.0,0.0,1171892.5938054498,0.5576284367639798,0.003764737276896241,0.0,0.5,0.25,20.591695994884763,0.9064,38,4,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,100.0,31004,450,46953.37706191411,34.502310618974654,35.94697850965579,0.3673998562124149,0,0.0,0.0,1182960.2043832645,0.5598746285530471,0.0028101626572729745,0.0,0.25,0.25,20.319912153161106,0.9064,38,4,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,100.0,31005,450,46855.76842088556,34.57418487833184,36.21835754920143,0.3726001906638609,0,0.0,0.0,1179069.8016000309,0.5591958478049042,0.0029823661421555935,0.0,0.25,0.25,20.381388216916843,0.9064,38,4,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aggregate,115.0,,,,,,,,,,,,,,,,,0.7881739130434783,42,2,1,0,5,0,0.0,30.175666360531125,0.12512675168858234,31.319005927664428,0.18320124142881916,0.3865180846436108,0.015996797085736033,0.0,0.0,0.0,0.0,0.0,0.0,1485960.5617516376,9802.490862021688,0.6150703018504442,0.001513013321970045,0.0010708737806435658,7.165658075269587e-05,0.0,0.0,0.25,0.0,0.25,0.0,17.51747479446871,0.07703706974003298
aggregate,112.5,,,,,,,,,,,,,,,,,0.8056888888888889,42,2,1,0,5,0,0.0,30.821039667799102,0.13024700847924855,32.01668431886177,0.19121960230806379,0.3841800178679348,0.015661102963380163,0.0,0.0,0.0,0.0,0.0,0.0,1435374.8450597604,9780.254772906783,0.6068377596021175,0.001576294036359208,0.0012382965339468603,7.649291377457349e-05,0.0,0.0,0.25,0.0,0.25,0.0,17.918495149516517,0.07890203749023066
aggregate,110.0,,,,,,,,,,,,,,,,,0.824,42,2,1,0,5,0,0.0,31.494542782525098,0.13559591772452861,32.74816659184287,0.19754539737311236,0.3819417815984763,0.014939379049359212,0.0,0.0,0.0,0.0,0.0,0.0,1384794.8450597604,9750.36915261335,0.5982463640110606,0.00164236567488359,0.0014455461472500128,8.894194058835482e-05,0.0,0.0,0.25,0.0,0.25,0.0,18.34296620226287,0.08076704440847197
aggregate,107.5,,,,,,,,,,,,,,,,,0.8431627906976744,41,3,1,0,5,0,0.0,32.19800330604631,0.14118994437433116,33.514394133550674,0.2030907298475291,0.37904237932158014,0.013555274693101436,0.0,0.0,0.0,0.0,0.0,0.0,1334224.3042668968,9713.22943273379,0.5892728227225252,0.0017116151899073712,0.00169896456447765,0.00011082446646176133,0.0,0.0,0.25,0.0,0.25,0.0,18.79307737868652,0.08354006691604378
aggregate,105.0,,,,,,,,,,,,,,,,,0.8632380952380952,41,3,1,0,5,0,0.0,32.933411702402466,0.1470006629211567,34.31706898537381,0.20866070027692382,0.3749874968732333,0.011918227174148305,0.0,0.0,0.0,0.0,0.0,0.0,1283666.8042668966,9665.907306974557,0.5798917443769043,0.0017837409293378376,0.0020425321256314286,0.00014275607531633565,0.0,0.0,0.25,0.0,0.25,0.0,19.27788490257111,0.08831676449545357
aggregate,102.5,,,,,,,,,,,,,,,,,0.8842926829268293,40,3,2,0,5,0,0.0,33.70030983708353,0.14936931616194596,35.15518853169986,0.21019148484066202,0.3709235872189446,0.010295111122334721,0.0,0.0,0.0,0.0,0.0,0.0,1233292.5805951003,9375.432415665404,0.5701089639993066,0.0018118216830505763,0.0025017687933274442,0.00022269844214085053,0.0,0.0,0.25,0.0,0.25,0.0,19.801710850174995,0.09955940370526994
aggregate,100.0,,,,,,,,,,,,,,,,,0.9064,38,4,3,0,5,0,0.0,34.488939019766285,0.139985332672032,36.01486489391956,0.1878989812024162,0.36586602392056633,0.009454011684352146,0.0,0.0,0.0,0.0,0.0,0.0,1183821.1941607324,8396.678507653436,0.5600488822386674,0.0017057634318080597,0.0031621314243524884,0.00032359078647123125,0.0,0.0,0.35,0.1224744871391589,0.25,0.0,20.374361236664175,0.11646540868411677
