candidate,family,fold,train_runs,validation_runs,models_in_candidate,effective_training_unit_positive_rate_mean,hard_negative_units,hard_positive_units,heldout_rows,heldout_units,heldout_row_positive_rate,pr_auc,roc_auc,brier,log_loss,ece15,mean_predicted_probability,actual_positive_rate
bagging_4p5pct_x7,bagging,1,train_001_baseline_2p0pct|train_002_intermittent_3p5pct|train_003_intermittent_late_4p5pct|train_006_multi_hard_6p5pct|train_008_baseline_7p2pct|train_009_intermittent_7p5pct|train_010_intermittent_late_7p8pct|train_011_accelerating_8p0pct|train_012_accelerating_hard_8p2pct|train_013_multi_hard_8p5pct|train_014_multi_hard_2_8p8pct|train_015_baseline_9p0pct|train_016_intermittent_9p5pct|train_018_accelerating_10p5pct|train_019_accelerating_hard_12p0pct|train_020_multi_hard_15p0pct,train_004_accelerating_5p5pct|train_005_accelerating_hard_6p0pct|train_007_multi_hard_2_7p0pct|train_017_intermittent_late_10p0pct,7,0.04500520291363164,0,0,51210,1707,0.026947861745752782,0.30753353267200745,0.7682135492558757,0.02157738190734421,0.10094041945820866,0.015031715550137954,0.04168117051677206,0.026947861745752782
bagging_4p5pct_x7,bagging,2,train_001_baseline_2p0pct|train_002_intermittent_3p5pct|train_004_accelerating_5p5pct|train_005_accelerating_hard_6p0pct|train_006_multi_hard_6p5pct|train_007_multi_hard_2_7p0pct|train_009_intermittent_7p5pct|train_010_intermittent_late_7p8pct|train_011_accelerating_8p0pct|train_012_accelerating_hard_8p2pct|train_014_multi_hard_2_8p8pct|train_016_intermittent_9p5pct|train_017_intermittent_late_10p0pct|train_018_accelerating_10p5pct|train_019_accelerating_hard_12p0pct|train_020_multi_hard_15p0pct,train_003_intermittent_late_4p5pct|train_008_baseline_7p2pct|train_013_multi_hard_8p5pct|train_015_baseline_9p0pct,7,0.04499631177772313,0,0,51300,1710,0.021052631578947368,0.2555053502705807,0.7532985327521866,0.01813005767655544,0.08699245254673647,0.012981725842071896,0.03394540460035565,0.021052631578947368
bagging_4p5pct_x7,bagging,3,train_002_intermittent_3p5pct|train_003_intermittent_late_4p5pct|train_004_accelerating_5p5pct|train_005_accelerating_hard_6p0pct|train_007_multi_hard_2_7p0pct|train_008_baseline_7p2pct|train_009_intermittent_7p5pct|train_011_accelerating_8p0pct|train_012_accelerating_hard_8p2pct|train_013_multi_hard_8p5pct|train_014_multi_hard_2_8p8pct|train_015_baseline_9p0pct|train_016_intermittent_9p5pct|train_017_intermittent_late_10p0pct|train_018_accelerating_10p5pct|train_020_multi_hard_15p0pct,train_001_baseline_2p0pct|train_006_multi_hard_6p5pct|train_010_intermittent_late_7p8pct|train_019_accelerating_hard_12p0pct,7,0.04500127844541039,0,0,51150,1705,0.025219941348973606,0.3727216901441686,0.7804728666623133,0.01858453511277792,0.09007410129077596,0.013271510343101282,0.03707584276134466,0.025219941348973606
bagging_4p5pct_x7,bagging,4,train_001_baseline_2p0pct|train_002_intermittent_3p5pct|train_003_intermittent_late_4p5pct|train_004_accelerating_5p5pct|train_005_accelerating_hard_6p0pct|train_006_multi_hard_6p5pct|train_007_multi_hard_2_7p0pct|train_008_baseline_7p2pct|train_010_intermittent_late_7p8pct|train_011_accelerating_8p0pct|train_013_multi_hard_8p5pct|train_015_baseline_9p0pct|train_016_intermittent_9p5pct|train_017_intermittent_late_10p0pct|train_019_accelerating_hard_12p0pct|train_020_multi_hard_15p0pct,train_009_intermittent_7p5pct|train_012_accelerating_hard_8p2pct|train_014_multi_hard_2_8p8pct|train_018_accelerating_10p5pct,7,0.04499631177772313,0,0,51210,1707,0.0210896309314587,0.27737741063055216,0.8172991887758495,0.01775465652343189,0.08557450297746907,0.021272420338914712,0.04236205127037341,0.0210896309314587
bagging_4p5pct_x7,bagging,5,train_001_baseline_2p0pct|train_003_intermittent_late_4p5pct|train_004_accelerating_5p5pct|train_005_accelerating_hard_6p0pct|train_006_multi_hard_6p5pct|train_007_multi_hard_2_7p0pct|train_008_baseline_7p2pct|train_009_intermittent_7p5pct|train_010_intermittent_late_7p8pct|train_012_accelerating_hard_8p2pct|train_013_multi_hard_8p5pct|train_014_multi_hard_2_8p8pct|train_015_baseline_9p0pct|train_017_intermittent_late_10p0pct|train_018_accelerating_10p5pct|train_019_accelerating_hard_12p0pct,train_002_intermittent_3p5pct|train_011_accelerating_8p0pct|train_016_intermittent_9p5pct|train_020_multi_hard_15p0pct,7,0.04499720514253774,0,0,51270,1709,0.03393797542422469,0.40945141846084543,0.814118657913119,0.02425631602894709,0.1078775633290004,0.009638194405863467,0.040708198156514226,0.03393797542422469
bagging_5p0pct_x5,bagging,1,train_001_baseline_2p0pct|train_002_intermittent_3p5pct|train_003_intermittent_late_4p5pct|train_006_multi_hard_6p5pct|train_008_baseline_7p2pct|train_009_intermittent_7p5pct|train_010_intermittent_late_7p8pct|train_011_accelerating_8p0pct|train_012_accelerating_hard_8p2pct|train_013_multi_hard_8p5pct|train_014_multi_hard_2_8p8pct|train_015_baseline_9p0pct|train_016_intermittent_9p5pct|train_018_accelerating_10p5pct|train_019_accelerating_hard_12p0pct|train_020_multi_hard_15p0pct,train_004_accelerating_5p5pct|train_005_accelerating_hard_6p0pct|train_007_multi_hard_2_7p0pct|train_017_intermittent_late_10p0pct,5,0.049999999999999996,0,0,51210,1707,0.026947861745752782,0.2997503753123514,0.7688847734471115,0.021844859296590302,0.10287685987202685,0.018448270189265373,0.0451260677614571,0.026947861745752782
bagging_5p0pct_x5,bagging,2,train_001_baseline_2p0pct|train_002_intermittent_3p5pct|train_004_accelerating_5p5pct|train_005_accelerating_hard_6p0pct|train_006_multi_hard_6p5pct|train_007_multi_hard_2_7p0pct|train_009_intermittent_7p5pct|train_010_intermittent_late_7p8pct|train_011_accelerating_8p0pct|train_012_accelerating_hard_8p2pct|train_014_multi_hard_2_8p8pct|train_016_intermittent_9p5pct|train_017_intermittent_late_10p0pct|train_018_accelerating_10p5pct|train_019_accelerating_hard_12p0pct|train_020_multi_hard_15p0pct,train_003_intermittent_late_4p5pct|train_008_baseline_7p2pct|train_013_multi_hard_8p5pct|train_015_baseline_9p0pct,5,0.049999999999999996,0,0,51300,1710,0.021052631578947368,0.25818390452595996,0.7541063487322448,0.018242145736329693,0.0884529400425246,0.01618175267601555,0.03700134543285612,0.021052631578947368
bagging_5p0pct_x5,bagging,3,train_002_intermittent_3p5pct|train_003_intermittent_late_4p5pct|train_004_accelerating_5p5pct|train_005_accelerating_hard_6p0pct|train_007_multi_hard_2_7p0pct|train_008_baseline_7p2pct|train_009_intermittent_7p5pct|train_011_accelerating_8p0pct|train_012_accelerating_hard_8p2pct|train_013_multi_hard_8p5pct|train_014_multi_hard_2_8p8pct|train_015_baseline_9p0pct|train_016_intermittent_9p5pct|train_017_intermittent_late_10p0pct|train_018_accelerating_10p5pct|train_020_multi_hard_15p0pct,train_001_baseline_2p0pct|train_006_multi_hard_6p5pct|train_010_intermittent_late_7p8pct|train_019_accelerating_hard_12p0pct,5,0.049999999999999996,0,0,51150,1705,0.025219941348973606,0.3725029740693509,0.7815006125679033,0.018749598715650437,0.09162564579269705,0.016026292790743784,0.040221194536601015,0.025219941348973606
bagging_5p0pct_x5,bagging,4,train_001_baseline_2p0pct|train_002_intermittent_3p5pct|train_003_intermittent_late_4p5pct|train_004_accelerating_5p5pct|train_005_accelerating_hard_6p0pct|train_006_multi_hard_6p5pct|train_007_multi_hard_2_7p0pct|train_008_baseline_7p2pct|train_010_intermittent_late_7p8pct|train_011_accelerating_8p0pct|train_013_multi_hard_8p5pct|train_015_baseline_9p0pct|train_016_intermittent_9p5pct|train_017_intermittent_late_10p0pct|train_019_accelerating_hard_12p0pct|train_020_multi_hard_15p0pct,train_009_intermittent_7p5pct|train_012_accelerating_hard_8p2pct|train_014_multi_hard_2_8p8pct|train_018_accelerating_10p5pct,5,0.049999999999999996,0,0,51210,1707,0.0210896309314587,0.28074308448672497,0.8234164967381106,0.01796181857661851,0.08760521393584796,0.024918798891174116,0.04599265477146268,0.0210896309314587
bagging_5p0pct_x5,bagging,5,train_001_baseline_2p0pct|train_003_intermittent_late_4p5pct|train_004_accelerating_5p5pct|train_005_accelerating_hard_6p0pct|train_006_multi_hard_6p5pct|train_007_multi_hard_2_7p0pct|train_008_baseline_7p2pct|train_009_intermittent_7p5pct|train_010_intermittent_late_7p8pct|train_012_accelerating_hard_8p2pct|train_013_multi_hard_8p5pct|train_014_multi_hard_2_8p8pct|train_015_baseline_9p0pct|train_017_intermittent_late_10p0pct|train_018_accelerating_10p5pct|train_019_accelerating_hard_12p0pct,train_002_intermittent_3p5pct|train_011_accelerating_8p0pct|train_016_intermittent_9p5pct|train_020_multi_hard_15p0pct,5,0.049999999999999996,0,0,51270,1709,0.03393797542422469,0.4075204438702884,0.8112543657507003,0.024391437439639046,0.10905534761092833,0.012411491298646092,0.04448326771898978,0.03393797542422469
