candidate,score_space,calibration,policy,threshold,unit_recall,false_warning_rate,unit_precision,median_first_alert_station_index,detected_before_final_inspection,positive_units,negative_units,alerted_positive_units,alerted_negative_units,selected_for_candidate,selected_final
bagging_5p0pct_x5,raw_probability,none,ema_0.3,0.17610638639618892,0.8401826484018264,0.03353768481788676,0.39740820734341253,16.0,0.8401826484018264,219,8319,184,279,False,False
bagging_5p0pct_x5,raw_probability,none,ema_0.5,0.1567115603563401,0.8447488584474886,0.04988580358216132,0.30833333333333335,15.0,0.8447488584474886,219,8319,185,415,False,False
bagging_5p0pct_x5,raw_probability,none,ema_0.7,0.17960784693353,0.8493150684931506,0.04868373602596466,0.3147208121827411,15.0,0.8493150684931506,219,8319,186,405,False,False
bagging_5p0pct_x5,raw_probability,none,two_consecutive,0.18350360231336474,0.8447488584474886,0.04207236446688304,0.34579439252336447,16.0,0.8447488584474886,219,8319,185,350,False,False
bagging_5p0pct_x5,raw_probability,none,two_of_three,0.18350360231336474,0.8447488584474886,0.04279360500060103,0.3419593345656192,16.0,0.8447488584474886,219,8319,185,356,False,False
bagging_5p0pct_x7,raw_probability,none,raw,0.224836305124223,0.8493150684931506,0.04459670633489602,0.3339317773788151,15.0,0.8493150684931506,219,8319,186,371,True,False
bagging_5p0pct_x7,raw_probability,none,ema_0.3,0.1749779918903448,0.8401826484018264,0.03461954561846376,0.3898305084745763,16.0,0.8401826484018264,219,8319,184,288,False,False
bagging_5p0pct_x7,raw_probability,none,ema_0.5,0.16411017199751324,0.8447488584474886,0.048202909003486,0.31569965870307165,15.0,0.8447488584474886,219,8319,185,401,False,False
bagging_5p0pct_x7,raw_probability,none,ema_0.7,0.18834282745081968,0.8493150684931506,0.04567856713547301,0.3286219081272085,15.0,0.8493150684931506,219,8319,186,380,False,False
bagging_5p0pct_x7,raw_probability,none,two_consecutive,0.19239900202876625,0.8447488584474886,0.03930760908763072,0.361328125,16.0,0.8447488584474886,219,8319,185,327,False,False
bagging_5p0pct_x7,raw_probability,none,two_of_three,0.19239900202876625,0.8447488584474886,0.03978843611010939,0.35852713178294576,16.0,0.8447488584474886,219,8319,185,331,False,False
bagging_5p5pct_x5,raw_probability,none,raw,0.23894018138835552,0.8538812785388128,0.04796249549224666,0.3191126279863481,15.0,0.8538812785388128,219,8319,187,399,True,False
bagging_5p5pct_x5,raw_probability,none,ema_0.3,0.155535844207724,0.8447488584474886,0.04856352927034499,0.3140916808149406,16.0,0.8447488584474886,219,8319,185,404,False,False
bagging_5p5pct_x5,raw_probability,none,ema_0.5,0.18924738039406738,0.8447488584474886,0.04567856713547301,0.3274336283185841,15.0,0.8447488584474886,219,8319,185,380,False,False
bagging_5p5pct_x5,raw_probability,none,ema_0.7,0.19772236617633665,0.8493150684931506,0.04964539007092199,0.3105175292153589,15.0,0.8493150684931506,219,8319,186,413,False,False
bagging_5p5pct_x5,raw_probability,none,two_consecutive,0.216990700305118,0.8447488584474886,0.03918740233201106,0.36203522504892366,16.0,0.8447488584474886,219,8319,185,326,False,False
bagging_5p5pct_x5,raw_probability,none,two_of_three,0.216990700305118,0.8447488584474886,0.03954802259887006,0.35992217898832685,16.0,0.8447488584474886,219,8319,185,329,False,False
bagging_5p5pct_x7,raw_probability,none,raw,0.2354138190715425,0.8493150684931506,0.048202909003486,0.31686541737649065,15.0,0.8493150684931506,219,8319,186,401,True,False
bagging_5p5pct_x7,raw_probability,none,ema_0.3,0.17532357264648277,0.8401826484018264,0.04014905637696838,0.3552123552123552,16.0,0.8401826484018264,219,8319,184,334,False,False
bagging_5p5pct_x7,raw_probability,none,ema_0.5,0.19034494247730602,0.8447488584474886,0.04483711984613535,0.33154121863799285,15.0,0.8447488584474886,219,8319,185,373,False,False
bagging_5p5pct_x7,raw_probability,none,ema_0.7,0.21814379453110072,0.8447488584474886,0.04243298473374204,0.34386617100371747,15.0,0.8447488584474886,219,8319,185,353,False,False
bagging_5p5pct_x7,raw_probability,none,two_consecutive,0.21946522763735912,0.8447488584474886,0.03846616179829306,0.36633663366336633,16.0,0.8447488584474886,219,8319,185,320,False,False
bagging_5p5pct_x7,raw_probability,none,two_of_three,0.21946522763735912,0.8447488584474886,0.03858636855391273,0.36561264822134387,16.0,0.8447488584474886,219,8319,185,321,False,False
hard_negative_top10_bagging_5p0pct_x5,raw_probability,none,raw,0.18726353202542514,0.8356164383561644,0.03413871859598509,0.39186295503211993,15.0,0.8356164383561644,219,8319,183,284,False,False
hard_negative_top10_bagging_5p0pct_x5,raw_probability,none,ema_0.3,0.12037922486489627,0.8401826484018264,0.03558119966342108,0.38333333333333336,16.0,0.8401826484018264,219,8319,184,296,True,False
hard_negative_top10_bagging_5p0pct_x5,raw_probability,none,ema_0.5,0.13457317389647833,0.8401826484018264,0.03642264695275874,0.37782340862423,15.0,0.8401826484018264,219,8319,184,303,False,False
hard_negative_top10_bagging_5p0pct_x5,raw_probability,none,ema_0.7,0.13860301599343916,0.8401826484018264,0.04087029691068638,0.3511450381679389,15.0,0.8401826484018264,219,8319,184,340,False,False
hard_negative_top10_bagging_5p0pct_x5,raw_probability,none,two_consecutive,0.13821948325365413,0.8401826484018264,0.03558119966342108,0.38333333333333336,16.0,0.8401826484018264,219,8319,184,296,False,False
hard_negative_top10_bagging_5p0pct_x5,raw_probability,none,two_of_three,0.13821948325365413,0.8401826484018264,0.03558119966342108,0.38333333333333336,16.0,0.8401826484018264,219,8319,184,296,False,False
hard_positive_w1p5_natural,raw_probability,none,raw,0.12413992942336502,0.8493150684931506,0.04724125495852867,0.32124352331606215,15.0,0.8493150684931506,219,8319,186,393,False,False
hard_positive_w1p5_natural,raw_probability,none,ema_0.3,0.09092726276647903,0.8493150684931506,0.04111071042192571,0.3522727272727273,16.0,0.8493150684931506,219,8319,186,342,True,False
hard_positive_w1p5_natural,raw_probability,none,ema_0.5,0.09971364540833007,0.8493150684931506,0.04435629282365669,0.33513513513513515,15.0,0.8493150684931506,219,8319,186,369,False,False
hard_positive_w1p5_natural,raw_probability,none,ema_0.7,0.1109553206159639,0.8447488584474886,0.04411587931241736,0.3351449275362319,15.0,0.8447488584474886,219,8319,185,367,False,False
